first_dose_pcttakeup,full_regimen_pcttakeup,eligibile_pop_takeup,vacc_date
0,0,0,2020-12-30
0,0,0,2020-12-31
0,0,0,2021-01-01
0,0,0,2021-01-02
0,0,0,2021-01-03
0,0,0,2021-01-04
0,0,0,2021-01-05
0,0,0,2021-01-06
0,0,0,2021-01-07
0,0,0,2021-01-08
0,0,0,2021-01-09
0,0,0,2021-01-10
0,0,0,2021-01-11
0,0,0,2021-01-12
0,0,0,2021-01-13
0,0,0,2021-01-14
0,0,0,2021-01-15
0,0,0,2021-01-16
0,0,0,2021-01-17
1,0,0,2021-01-18
1,0,0,2021-01-19
1,0,0,2021-01-20
1,0,0,2021-01-21
1,0,0,2021-01-22
1,0,0,2021-01-23
1,0,0,2021-01-24
2,0,0,2021-01-25
2,0,0,2021-01-26
2,0,0,2021-01-27
2,0,0,2021-01-28
3,0,0,2021-01-29
3,0,0,2021-01-30
3,0,0,2021-01-31
3,0,0,2021-02-01
3,0,0,2021-02-02
3,0,0,2021-02-03
4,0,0,2021-02-04
4,0,0,2021-02-05
4,0,0,2021-02-06
4,0,0,2021-02-07
4,1,1,2021-02-08
4,1,1,2021-02-09
4,1,1,2021-02-10
4,1,1,2021-02-11
4,1,1,2021-02-12
4,1,1,2021-02-13
4,1,1,2021-02-14
4,1,1,2021-02-15
4,1,2,2021-02-16
4,2,2,2021-02-17
4,2,2,2021-02-18
4,2,3,2021-02-19
4,2,3,2021-02-20
4,3,3,2021-02-21
5,3,3,2021-02-22
5,3,3,2021-02-23
5,3,4,2021-02-24
5,3,4,2021-02-25
5,4,4,2021-02-26
5,4,4,2021-02-27
6,4,4,2021-02-28
6,4,4,2021-03-01
6,4,4,2021-03-02
6,4,4,2021-03-03
6,4,4,2021-03-04
7,4,4,2021-03-05
7,4,4,2021-03-06
7,4,4,2021-03-07
7,4,4,2021-03-08
7,4,4,2021-03-09
8,4,5,2021-03-10
8,4,5,2021-03-11
9,4,5,2021-03-12
9,4,5,2021-03-13
9,4,5,2021-03-14
10,4,5,2021-03-15
10,5,5,2021-03-16
11,5,5,2021-03-17
12,5,5,2021-03-18
12,5,6,2021-03-19
13,5,6,2021-03-20
13,5,6,2021-03-21
14,6,6,2021-03-22
15,6,6,2021-03-23
15,6,7,2021-03-24
15,6,7,2021-03-25
16,6,7,2021-03-26
16,7,7,2021-03-27
16,7,7,2021-03-28
17,7,8,2021-03-29
18,7,8,2021-03-30
18,8,8,2021-03-31
18,8,9,2021-04-01
19,8,9,2021-04-02
19,9,10,2021-04-03
19,9,10,2021-04-04
20,9,10,2021-04-05
21,10,11,2021-04-06
21,10,11,2021-04-07
21,11,12,2021-04-08
22,12,13,2021-04-09
22,12,14,2021-04-10
22,13,14,2021-04-11
23,13,15,2021-04-12
23,14,15,2021-04-13
23,14,16,2021-04-14
24,14,16,2021-04-15
24,15,16,2021-04-16
24,15,17,2021-04-17
25,16,17,2021-04-18
25,16,18,2021-04-19
25,17,18,2021-04-20
26,17,19,2021-04-21
26,17,19,2021-04-22
27,18,20,2021-04-23
27,18,20,2021-04-24
28,19,21,2021-04-25
28,19,21,2021-04-26
28,20,22,2021-04-27
29,20,22,2021-04-28
29,20,22,2021-04-29
30,21,23,2021-04-30
30,21,23,2021-05-01
30,21,24,2021-05-02
31,22,24,2021-05-03
31,22,24,2021-05-04
32,22,24,2021-05-05
32,22,25,2021-05-06
32,23,25,2021-05-07
33,23,25,2021-05-08
33,23,26,2021-05-09
34,23,26,2021-05-10
34,24,26,2021-05-11
34,24,27,2021-05-12
34,24,27,2021-05-13
35,25,28,2021-05-14
35,25,28,2021-05-15
35,26,29,2021-05-16
36,26,29,2021-05-17
36,27,30,2021-05-18
36,27,30,2021-05-19
37,28,30,2021-05-20
37,28,31,2021-05-21
38,29,32,2021-05-22
38,29,32,2021-05-23
38,29,33,2021-05-24
39,30,33,2021-05-25
39,30,33,2021-05-26
40,31,34,2021-05-27
40,31,34,2021-05-28
41,31,35,2021-05-29
41,32,35,2021-05-30
41,32,36,2021-05-31
42,33,36,2021-06-01
43,33,36,2021-06-02
43,33,36,2021-06-03
44,33,37,2021-06-04
45,34,37,2021-06-05
45,34,38,2021-06-06
46,34,38,2021-06-07
46,35,38,2021-06-08
46,35,39,2021-06-09
47,35,39,2021-06-10
48,36,39,2021-06-11
48,36,40,2021-06-12
49,36,40,2021-06-13
49,36,40,2021-06-14
50,37,41,2021-06-15
51,37,41,2021-06-16
51,37,41,2021-06-17
52,38,42,2021-06-18
53,38,42,2021-06-19
53,38,42,2021-06-20
54,38,42,2021-06-21
55,39,43,2021-06-22
56,39,43,2021-06-23
57,39,43,2021-06-24
57,39,43,2021-06-25
58,39,44,2021-06-26
59,40,44,2021-06-27
60,40,44,2021-06-28
61,40,44,2021-06-29
62,40,44,2021-06-30
63,40,45,2021-07-01
64,41,45,2021-07-02
65,41,46,2021-07-03
66,42,46,2021-07-04
68,42,46,2021-07-05
69,42,47,2021-07-06
70,42,47,2021-07-07
71,43,47,2021-07-08
72,43,48,2021-07-09
73,44,48,2021-07-10
74,44,49,2021-07-11
74,45,50,2021-07-12
75,46,50,2021-07-13
75,46,51,2021-07-14
76,47,52,2021-07-15
76,48,53,2021-07-16
77,49,54,2021-07-17
77,50,56,2021-07-18
77,51,56,2021-07-19
77,51,56,2021-07-20
78,52,57,2021-07-21
78,53,58,2021-07-22
78,54,60,2021-07-23
78,55,61,2021-07-24
79,56,62,2021-07-25
79,57,63,2021-07-26
79,58,64,2021-07-27
79,58,65,2021-07-28
80,59,66,2021-07-29
80,61,67,2021-07-30
80,62,68,2021-07-31
80,63,70,2021-08-01
80,64,71,2021-08-02
80,65,72,2021-08-03
81,66,73,2021-08-04
81,67,74,2021-08-05
81,68,76,2021-08-06
81,69,77,2021-08-07
81,70,78,2021-08-08
81,71,79,2021-08-09
81,72,79,2021-08-10
82,73,80,2021-08-11
82,73,81,2021-08-12
82,74,82,2021-08-13
82,75,83,2021-08-14
82,75,83,2021-08-15
82,76,84,2021-08-16
83,76,84,2021-08-17
83,76,84,2021-08-18
83,77,85,2021-08-19
83,77,85,2021-08-20
83,77,85,2021-08-21
83,77,86,2021-08-22
83,78,86,2021-08-23
83,78,86,2021-08-24
83,78,86,2021-08-25
83,78,86,2021-08-26
84,78,87,2021-08-27
84,79,87,2021-08-28
84,79,87,2021-08-29
84,79,87,2021-08-30
84,79,88,2021-08-31
84,79,88,2021-09-01
84,79,88,2021-09-02
84,80,88,2021-09-03
84,80,88,2021-09-04
84,80,89,2021-09-05
84,80,89,2021-09-06
84,80,89,2021-09-07
84,81,89,2021-09-08
84,81,89,2021-09-09
84,81,89,2021-09-10
85,81,90,2021-09-11
85,81,90,2021-09-12
85,81,90,2021-09-13
85,81,90,2021-09-14
85,81,90,2021-09-15
85,81,90,2021-09-16
85,82,90,2021-09-17
85,82,90,2021-09-18
85,82,90,2021-09-19
85,82,90,2021-09-20
85,82,91,2021-09-21
85,82,91,2021-09-22
85,82,91,2021-09-23
85,82,91,2021-09-24
85,82,91,2021-09-25
85,82,91,2021-09-26
85,82,91,2021-09-27
85,82,91,2021-09-28
85,82,91,2021-09-29
85,83,91,2021-09-30
85,83,91,2021-10-01
85,83,91,2021-10-02
85,83,91,2021-10-03
86,83,92,2021-10-04
86,83,92,2021-10-05
86,83,92,2021-10-06
86,83,92,2021-10-07
86,83,92,2021-10-08
86,83,92,2021-10-09
86,83,92,2021-10-10
86,83,92,2021-10-11
86,83,92,2021-10-12
86,83,92,2021-10-13
86,83,92,2021-10-14
86,83,92,2021-10-15
86,83,92,2021-10-16
86,84,92,2021-10-17
86,84,92,2021-10-18
86,84,92,2021-10-19
86,84,93,2021-10-20
86,84,93,2021-10-21
86,84,93,2021-10-22
86,84,93,2021-10-23
86,84,93,2021-10-24
86,84,93,2021-10-25
86,84,93,2021-10-26
86,84,93,2021-10-27
86,84,93,2021-10-28
86,84,93,2021-10-29
87,84,93,2021-10-30
87,84,93,2021-10-31
87,84,93,2021-11-01
87,84,93,2021-11-02
87,84,93,2021-11-03
87,84,93,2021-11-04
87,85,94,2021-11-05
87,85,94,2021-11-06
87,85,94,2021-11-07
87,85,94,2021-11-08
87,85,94,2021-11-09
87,85,94,2021-11-10
87,85,94,2021-11-11
87,85,94,2021-11-12
87,85,94,2021-11-13
87,85,94,2021-11-14
87,85,94,2021-11-15
87,85,94,2021-11-16
87,85,94,2021-11-17
87,85,94,2021-11-18
87,85,94,2021-11-19
87,85,95,2021-11-20
87,85,95,2021-11-21
87,86,95,2021-11-22
87,86,95,2021-11-23
87,86,95,2021-11-24
87,86,95,2021-11-25
87,86,95,2021-11-26
87,86,95,2021-11-27
87,86,95,2021-11-28
87,86,95,2021-11-29
87,86,95,2021-11-30
87,86,95,2021-12-01
87,86,95,2021-12-02
87,86,95,2021-12-03
87,86,95,2021-12-04
87,86,95,2021-12-05
87,86,95,2021-12-06
87,86,95,2021-12-07
87,86,96,2021-12-08
87,86,96,2021-12-09
87,87,96,2021-12-10
87,87,96,2021-12-11
87,87,96,2021-12-12
87,87,96,2021-12-13
87,87,96,2021-12-14
87,87,96,2021-12-15
87,87,96,2021-12-16
88,87,96,2021-12-17
88,87,96,2021-12-18
88,87,96,2021-12-19
88,87,96,2021-12-20
88,87,96,2021-12-21
88,87,96,2021-12-22
88,87,96,2021-12-23
